id	untreated_lemon	ultrafresh_eggs	unlightened_liquid_cream_and_sugar_for_the_accompanying_whipped_cream	unrealized_green_lemons	untreated_orange	unsolved_yellow_lemons	unrealized_lemons	ultra_fine_slices_of_bayonne_ham	unsaled_pistachios	until_a_half_of_agar_agar__less_than_a_gram_	untreated_oranges	uns_sucrated_cocoa__optional_	unsaled_cashews
118	1	0	0	0	0	0	0	0	0	0	0	0	0
181	0	2	0	0	0	0	0	0	0	0	0	0	0
225	0	0	N_S	0	0	0	0	0	0	0	0	0	0
259	0	0	0	5	0	0	0	0	0	0	0	0	0
367	for_caramel__170g_of_powdered_sugar_50g_of_liquid_honey__ideally__orange_honey__100g_of_salted_butter_1_divide_2	0	0	0	0	0	0	0	0	0	0	0	0
492	1	0	0	0	0	0	0	0	0	0	0	0	0
537	0	0	0	0	1	0	0	0	0	0	0	0	0
543	0	0	0	0	0	3	0	0	0	0	0	0	0
638	0	0	0	0	0	0	3	0	0	0	0	0	0
786	0	0	0	0	0	0	0	6	0	0	0	0	0
800	0	0	0	0	0	0	0	0	N_S	0	0	0	0
826	0	0	0	0	0	0	0	0	0	N_S	0	0	0
873	1	0	0	0	0	0	0	0	0	0	0	0	0
1047	1	0	0	0	0	0	0	0	0	0	0	0	0
1063	1	0	0	0	0	0	0	0	0	0	0	0	0
1079	1	0	0	0	0	0	0	0	0	0	0	0	0
1535	0	0	0	0	0	0	0	0	0	0	2	0	0
1540	1	0	0	0	0	0	0	0	0	0	0	0	0
1827	1	0	0	0	0	0	0	0	0	0	0	0	0
1843	1	0	0	0	0	0	0	0	0	0	0	0	0
2021	0	0	0	0	0	0	0	0	0	0	0	N_S	0
2066	zest_and_juice_of_a_1_divide_4	0	0	0	0	0	0	0	0	0	0	0	0
2298	0	0	0	0	0	0	0	0	0	0	0	0	N_S
